x	y	class	color	
34775.57421875	26556.93359375		-65536
33704.953125	26529.34375		-65536
35306.73046875	26531.07421875		-65536
33675.57421875	26531.03125		-65536
34361.609375	26573.458984375		-65536
33589.21484375	26537.142578125		-65536
33813.15625	26535.064453125		-65536
34616.71484375	26538.458984375		-65536
34493.23046875	26547.556640625		-65536
34735.015625	26547.21875		-65536
34812.94140625	26550.880859375		-65536
34468.16796875	26540.6484375		-65536
34525.10546875	26537.08984375		-65536
34846.91015625	26541.09765625		-65536
35112.12890625	26549.076171875		-65536
35196.8828125	26545.0703125		-65536
33866.49609375	26545.42578125		-65536
34875.328125	26547.703125		-65536
34934.3046875	26542.857421875		-65536
35080.20703125	26547.1015625		-65536
34187.9140625	26549.283203125		-65536
35227.55078125	26545.884765625		-65536
34910.62109375	26545.599609375		-65536
35331.46484375	26565.71875		-65536
34147.9296875	26555.126953125		-65536
34282.92578125	26600.83984375		-65536
33836.9453125	26558.685546875		-65536
34287.26171875	26552.005859375		-65536
34706.26953125	26576.80859375		-65536
35153.2265625	26572.46875		-65536
33674.86328125	26552.658203125		-65536
34113.18359375	26557.11328125		-65536
34632.52734375	26556.296875		-65536
33779.0390625	26555.5625		-65536
33885.3515625	26558.54296875		-65536
35294.94140625	26578.49609375		-65536
34421.91015625	26572.435546875		-65536
33931.37109375	26577.060546875		-65536
33725.32421875	26561.98046875		-65536
34559.33984375	26569.7109375		-65536
34967.015625	26587.42578125		-65536
35009.69921875	26567.36328125		-65536
34076.21875	26583.896484375		-65536
34529.33203125	26570.197265625		-65536
33645.84375	26582.166015625		-65536
35091.8828125	26575.47265625		-65536
33961.921875	26570.97265625		-65536
34895.49609375	26570.482421875		-65536
33792.203125	26575.412109375		-65536
34448.94140625	26577.822265625		-65536
34593.0625	26585.939453125		-65536
33871.3125	26577.06640625		-65536
33591.84765625	26590.67578125		-65536
33707.09375	26589.3046875		-65536
35046.984375	26578.06640625		-65536
33766.8125	26584.29296875		-65536
34520.1640625	26588.693359375		-65536
34680.890625	26585.96484375		-65536
33740.3359375	26590.232421875		-65536
35219.12890625	26613.59765625		-65536
34627.3515625	26596.25		-65536
34653.83984375	26595.05078125		-65536
34736.0390625	26598.76953125		-65536
35006.66015625	26597.5625		-65536
33850.27734375	26592.451171875		-65536
33976.97265625	26609.046875		-65536
34172.1328125	26597.091796875		-65536
34853.1796875	26592.974609375		-65536
35061.48046875	26595.51171875		-65536
33791.8125	26610.431640625		-65536
34812.0	26601.025390625		-65536
34924.58203125	26616.703125		-65536
35272.78515625	26598.8671875		-65536
33676.01953125	26601.150390625		-65536
33841.5625	26629.029296875		-65536
34010.9765625	26610.654296875		-65536
34403.30859375	26607.7421875		-65536
34440.98046875	26603.712890625		-65536
34884.19921875	26626.2265625		-65536
35096.94140625	26603.384765625		-65536
34150.55078125	26615.509765625		-65536
34478.6015625	26615.59375		-65536
35264.42578125	26611.76171875		-65536
33617.2421875	26610.90234375		-65536
34051.27734375	26618.908203125		-65536
35042.546875	26609.0625		-65536
33940.40625	26612.08984375		-65536
34680.203125	26618.005859375		-65536
34783.3359375	26616.4375		-65536
35348.65234375	26617.38671875		-65536
35297.25	26615.802734375		-65536
34524.36328125	26631.54296875		-65536
34709.9765625	26631.337890625		-65536
33728.3125	26638.798828125		-65536
34611.0078125	26622.369140625		-65536
34637.32421875	26625.298828125		-65536
33681.5390625	26621.953125		-65536
34099.0234375	26636.849609375		-65536
34372.765625	26627.3359375		-65536
34979.734375	26634.515625		-65536
34586.53125	26638.041015625		-65536
34246.28515625	26648.462890625		-65536
34808.05859375	26651.916015625		-65536
33667.6796875	26668.033203125		-65536
35119.390625	26636.828125		-65536
34347.7578125	26640.6484375		-65536
35156.01953125	26649.94140625		-65536
34399.88671875	26638.083984375		-65536
35352.26171875	26645.388671875		-65536
33956.1875	26657.65625		-65536
